"","datetime","RPT_ID","운용팀","제조사","중계기명","함체온도","시도명","시군구명","동명","temp","wind_direct","wind_speed","rain_fall","월"
"32",2016-06-14 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",27.5,199.3,1.8,NA,"16-06"
"33",2016-06-15 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",24.8,161.4,1.9,NA,"16-06"
"34",2016-06-16 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",39,"경기도","성남시 분당구","구미동",23.1,286.5,1,NA,"16-06"
"35",2016-06-17 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",40,"경기도","성남시 분당구","구미동",27.8,183.1,2,NA,"16-06"
"36",2016-06-18 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",30.2,313.9,1,NA,"16-06"
"37",2016-06-19 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",45,"경기도","성남시 분당구","구미동",27.2,305.9,2.1,NA,"16-06"
"38",2016-06-20 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",27.6,253.5,1.1,NA,"16-06"
"39",2016-06-21 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",30.8,355.4,1,NA,"16-06"
"40",2016-06-22 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",47,"경기도","성남시 분당구","구미동",31.4,30.3,1.5,NA,"16-06"
"41",2016-06-23 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",29.3,187.6,0.9,NA,"16-06"
"42",2016-06-24 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",24.7,349.6,1.7,NA,"16-06"
"43",2016-06-25 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",26.7,314.9,3.1,NA,"16-06"
"44",2016-06-26 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",41,"경기도","성남시 분당구","구미동",28.1,0.9,1.6,NA,"16-06"
"45",2016-06-27 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",27.6,85.7,1.3,NA,"16-06"
"46",2016-06-28 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",45,"경기도","성남시 분당구","구미동",28.6,165.7,1.5,NA,"16-06"
"47",2016-06-29 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",43,"경기도","성남시 분당구","구미동",29.6,183.1,2.6,NA,"16-06"
"48",2016-07-01 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",43,"경기도","성남시 분당구","구미동",28.1,141.7,1.7,NA,"16-07"
"49",2016-07-02 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",41,"경기도","성남시 분당구","구미동",25.3,256.2,1,NA,"16-07"
"50",2016-07-03 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",42,"경기도","성남시 분당구","구미동",25.3,163.9,1.2,NA,"16-07"
"51",2016-07-04 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",43,"경기도","성남시 분당구","구미동",21.8,90.7,0.9,0.5,"16-07"
"52",2016-07-05 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",26.4,188.4,2,0.5,"16-07"
"53",2016-07-06 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",40,"경기도","성남시 분당구","구미동",26.5,187.2,1.4,NA,"16-07"
"54",2016-07-07 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",43,"경기도","성남시 분당구","구미동",25,52.8,1,NA,"16-07"
"55",2016-07-08 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",45,"경기도","성남시 분당구","구미동",31.1,285.1,1.3,NA,"16-07"
"56",2016-07-09 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",48,"경기도","성남시 분당구","구미동",33.9,7.5,2.5,NA,"16-07"
"57",2016-07-10 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",33,17.8,1.9,NA,"16-07"
"58",2016-07-11 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",48,"경기도","성남시 분당구","구미동",33.4,139.9,1.3,NA,"16-07"
"59",2016-07-12 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",49,"경기도","성남시 분당구","구미동",28.7,303.3,0.6,NA,"16-07"
"60",2016-07-13 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",28.7,303.5,1.4,NA,"16-07"
"61",2016-07-14 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",44,"경기도","성남시 분당구","구미동",29.9,312.9,1.5,NA,"16-07"
"62",2016-07-15 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",46,"경기도","성남시 분당구","구미동",29,130.5,1.5,NA,"16-07"
"63",2016-07-16 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",45,"경기도","성남시 분당구","구미동",20.6,63.1,0.7,2.5,"16-07"
"64",2016-07-17 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",37,"경기도","성남시 분당구","구미동",24,202.2,0.6,NA,"16-07"
"65",2016-07-18 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",38,"경기도","성남시 분당구","구미동",26.1,329.9,1,NA,"16-07"
"66",2016-07-19 00:00:00,"110745627","강남/분당품질개선팀","GSI","구미동가나안MI",43,"경기도","성남시 분당구","구미동",30.8,99.6,1.7,NA,"16-07"
